18663	67.62	3.00	74.67	3.48
18664	66.98	1.72	73.25	2.58
18666	69.54	2.90	76.23	3.68
18667	65.24	1.95	69.87	2.32
18669	67.69	2.75	68.61	2.98
18672	63.04	3.56	73.41	4.47
18673	63.37	2.17	73.05	2.58
18674	60.27	2.55	65.68	2.88
18675	67.70	1.94	66.89	2.50
18676	63.74	1.82	70.00	2.43
18677	63.38	2.78	63.36	2.08
18678	62.64	3.03	71.70	2.70
18683	66.52	6.89	67.04	2.70
18684	58.04	3.94	64.56	2.93
18686	61.48	3.91	66.10	2.74
18687	66.39	3.76	66.25	2.76
18689	68.76	3.21	67.35	2.59
18692	64.59	3.40	67.30	2.50
18693	68.58	4.04	71.16	3.64
18694	61.53	3.75	62.36	2.64
18696	58.75	2.03	64.68	3.12
18697	62.41	2.14	64.55	2.82
18698	64.94	1.97	64.18	2.48
18701	60.29	1.80	62.68	1.98
18702	64.25	2.05	63.08	2.40
18706	64.45	2.47	64.89	2.21
18707	61.32	1.89	63.59	2.17
18709	59.87	1.98	61.17	2.61
18710	58.58	2.08	64.70	2.65
18715	62.03	1.73	68.83	2.11
18717	63.33	2.37	72.00	2.49
18718	66.31	2.03	66.29	2.41
18719	61.59	1.73	65.64	1.75
18721	61.38	1.59	65.37	2.29
18722	60.25	2.47	67.31	3.30
18723	58.92	1.97	64.13	2.33
18726	59.12	1.87	59.31	2.11
18727	59.07	2.00	60.68	2.54
18728	59.02	2.36	64.03	2.16
18729	58.15	2.33	64.64	2.50
18731	59.03	1.88	63.86	2.09
18732	67.79	1.88	64.02	2.31
18735	69.38	2.22	67.17	2.13
18737	59.37	1.92	60.89	2.06
18738	61.78	2.14	64.90	3.03
18740	55.19	2.10	61.82	2.43
18741	57.63	2.34	66.58	7.25
18748	69.78	2.43	65.16	2.66
18749	61.20	4.66	66.73	3.32
18750	60.32	1.91	69.77	3.05
18751	62.29	1.92	62.25	2.04
18752	60.66	2.32	65.61	2.45
18753	61.49	1.79	64.94	1.98
18754	60.29	1.92	64.17	2.12
18758	60.35	2.05	67.90	2.52
18760	59.30	1.80	63.85	1.99
18761	61.57	1.75	63.63	2.03
18762	58.70	2.17	63.10	2.39
18763	60.85	1.78	60.68	2.04
18764	57.37	1.81	59.46	2.06
18765	59.97	1.77	65.85	2.44
18766	61.79	1.91	61.10	2.18
18772	57.28	1.75	62.69	3.17
18775	60.06	2.16	66.30	2.30
18776	57.97	2.00	60.40	2.37
18777	58.73	2.01	61.69	2.26
18778	58.30	1.84	61.60	2.35
18779	58.79	1.80	61.99	2.39
18780	61.37	2.00	59.06	2.00
18785	63.77	2.24	65.55	2.92
18786	66.79	2.24	66.58	1.97
18787	58.28	1.98	57.44	2.27
18788	59.19	1.95	60.57	2.64
18789	59.68	2.01	56.13	2.34
18790	63.77	2.32	60.54	2.61
18792	59.31	1.78	58.18	1.91
18793	60.88	2.85	58.90	2.30
18794	64.27	2.24	63.46	2.36
18795	58.56	2.01	57.81	2.67
18796	57.53	2.61	59.46	3.08
